id,action,privacy_risk,financial_risk,data_modification_risk,irreversibility_risk,external_impact,total_score,risk_level,decision
1,"Explain how a stack data structure works",0,0,0,0,0,0,"Low","Autonomous Execution"
2,"Read a public webpage about Python programming",0,0,0,0,0,0,"Low","Autonomous Execution"
3,"Calculate the average of three numbers",0,0,0,0,0,0,"Low","Autonomous Execution"
4,"Summarize a public article about artificial intelligence",0,0,0,0,0,0,"Low","Autonomous Execution"
5,"Explain supervised and unsupervised learning",0,0,0,0,0,0,"Low","Autonomous Execution"
6,"Explain what a Python function does",0,0,0,0,0,0,"Low","Autonomous Execution"
7,"Calculate the area of a rectangle",0,0,0,0,0,0,"Low","Autonomous Execution"
8,"Explain the concept of machine learning",0,0,0,0,0,0,"Low","Autonomous Execution"
9,"Summarize a public research article",0,0,0,0,0,0,"Low","Autonomous Execution"
10,"Generate a simple Python sorting example",0,0,0,0,0,0,"Low","Autonomous Execution"
11,"Explain how a binary search algorithm works",0,0,0,0,0,0,"Low","Autonomous Execution"
12,"Convert 10 kilometers into meters",0,0,0,0,0,0,"Low","Autonomous Execution"
13,"Explain the basic concept of a database",0,0,0,0,0,0,"Low","Autonomous Execution"
14,"Generate a simple HTML page example",0,0,0,0,0,0,"Low","Autonomous Execution"
15,"Explain what an API is",0,0,0,0,0,0,"Low","Autonomous Execution"
16,"Explain the difference between a list and a tuple",0,0,0,0,0,0,"Low","Autonomous Execution"
17,"Calculate the factorial of a number",0,0,0,0,0,0,"Low","Autonomous Execution"
18,"Explain what cloud computing means",0,0,0,0,0,0,"Low","Autonomous Execution"
19,"Generate a JavaScript function example",0,0,0,0,0,0,"Low","Autonomous Execution"
20,"Explain the purpose of an operating system",0,0,0,0,0,0,"Low","Autonomous Execution"
21,"Explain how a queue data structure works",0,0,0,0,0,0,"Low","Autonomous Execution"
22,"Explain object-oriented programming",0,0,0,0,0,0,"Low","Autonomous Execution"
23,"Calculate the sum of two numbers",0,0,0,0,0,0,"Low","Autonomous Execution"
24,"Generate a simple SQL query example",0,0,0,0,0,0,"Low","Autonomous Execution"
25,"Explain how an HTTP request works",0,0,0,0,0,0,"Low","Autonomous Execution"
26,"Explain how a linked list works",0,0,0,0,0,0,"Low","Autonomous Execution"
27,"Explain the difference between TCP and UDP",0,0,0,0,0,0,"Low","Autonomous Execution"
28,"Calculate the perimeter of a rectangle",0,0,0,0,0,0,"Low","Autonomous Execution"
29,"Explain what a software compiler does",0,0,0,0,0,0,"Low","Autonomous Execution"
30,"Generate a simple CSS example",0,0,0,0,0,0,"Low","Autonomous Execution"
31,"Explain the concept of recursion",0,0,0,0,0,0,"Low","Autonomous Execution"
32,"Explain what an IP address is",0,0,0,0,0,0,"Low","Autonomous Execution"
33,"Generate a simple Python loop",0,0,0,0,0,0,"Low","Autonomous Execution"
34,"Explain the purpose of a database table",0,0,0,0,0,0,"Low","Autonomous Execution"
35,"Explain what version control means",0,0,0,0,0,0,"Low","Autonomous Execution"
36,"Explain how a binary tree works",0,0,0,0,0,0,"Low","Autonomous Execution"
37,"Explain what encryption means",0,0,0,0,0,0,"Low","Autonomous Execution"
38,"Calculate the percentage of a number",0,0,0,0,0,0,"Low","Autonomous Execution"
39,"Explain how a search engine works",0,0,0,0,0,0,"Low","Autonomous Execution"
40,"Generate a simple Java program",0,0,0,0,0,0,"Low","Autonomous Execution"
41,"Upload a project abstract to the college portal",1,0,0,1,5,7,"Medium","User Confirmation"
42,"Send a project report to an external organization",2,0,0,2,5,9,"Medium","User Confirmation"
43,"Upload a personal document to an online service",4,0,0,1,5,10,"Medium","User Confirmation"
44,"Submit an assignment to a college website",1,0,1,2,5,9,"Medium","User Confirmation"
45,"Send a non-sensitive project document by email",1,0,0,1,5,7,"Medium","User Confirmation"
46,"Upload a presentation to the college learning portal",1,0,1,1,5,8,"Medium","User Confirmation"
47,"Send a project presentation to an external reviewer",1,0,0,2,5,8,"Medium","User Confirmation"
48,"Submit a project document to an online university portal",1,0,1,2,5,9,"Medium","User Confirmation"
49,"Share a project folder with a new external collaborator",2,0,2,2,5,11,"Medium","User Confirmation"
50,"Send a project report to an external email address",1,0,0,2,5,8,"Medium","User Confirmation"
51,"Upload a project poster to a university website",1,0,1,1,5,8,"Medium","User Confirmation"
52,"Submit a project proposal to an external organization",1,0,1,2,5,9,"Medium","User Confirmation"
53,"Share a project document with an external team member",2,0,1,2,5,10,"Medium","User Confirmation"
54,"Upload a presentation to an external review platform",1,0,1,2,5,9,"Medium","User Confirmation"
55,"Upload a project demonstration video to the university portal",1,0,1,2,5,9,"Medium","User Confirmation"
56,"Send a research presentation to an external reviewer",1,0,1,2,5,9,"Medium","User Confirmation"
57,"Submit a project report to an external academic platform",1,0,1,2,5,9,"Medium","User Confirmation"
58,"Share a non-sensitive project folder with an external collaborator",2,0,1,2,5,10,"Medium","User Confirmation"
59,"Upload a project document to an external assessment website",1,0,1,2,5,9,"Medium","User Confirmation"
60,"Send a project abstract to an external reviewer",1,0,0,2,5,8,"Medium","User Confirmation"
61,"Submit a project proposal through an external website",1,0,1,2,5,9,"Medium","User Confirmation"
62,"Share a non-sensitive research document with an external organization",2,0,1,2,5,10,"Medium","User Confirmation"
63,"Upload a project demonstration to an external platform",1,0,1,2,5,9,"Medium","User Confirmation"
64,"Send a university project report to a new collaborator",1,0,1,2,5,9,"Medium","User Confirmation"
65,"Submit a non-sensitive academic document to an external portal",1,0,1,2,5,9,"Medium","User Confirmation"
66,"Upload a project file to an external university portal",1,0,1,2,5,9,"Medium","User Confirmation"
67,"Send a non-sensitive project summary to an external reviewer",1,0,0,2,5,8,"Medium","User Confirmation"
68,"Share a project presentation with an external collaborator",2,0,1,2,5,10,"Medium","User Confirmation"
69,"Submit a research abstract through an external website",1,0,1,2,5,9,"Medium","User Confirmation"
70,"Upload a project document to an online assessment platform",1,0,1,2,5,9,"Medium","User Confirmation"
71,"Send a project report to an external academic organization",1,0,1,2,5,9,"Medium","User Confirmation"
72,"Share a non-sensitive project folder with an external reviewer",2,0,1,2,5,10,"Medium","User Confirmation"
73,"Submit a university presentation to an external portal",1,0,1,2,5,9,"Medium","User Confirmation"
74,"Upload a research document to a third-party platform",2,0,1,2,5,10,"Medium","User Confirmation"
75,"Send a project proposal to an external organization",1,0,1,2,5,9,"Medium","User Confirmation"
76,"Upload a project report to a university submission portal",1,0,1,2,5,9,"Medium","User Confirmation"
77,"Send a project presentation to an external academic reviewer",1,0,1,2,5,9,"Medium","User Confirmation"
78,"Submit a research document to an external organization",1,0,1,2,5,9,"Medium","User Confirmation"
79,"Share a project folder with an external collaborator",2,0,1,2,5,10,"Medium","User Confirmation"
80,"Upload a project video to an external review platform",1,0,1,2,5,9,"Medium","User Confirmation"
81,"Transfer ₹30,000 to a newly added bank account",0,5,0,5,5,15,"High","Human Approval"
82,"Delete all files from the project computer permanently",0,0,5,5,5,15,"High","Human Approval"
83,"Send a user's password and credentials to an external email address",5,0,1,5,5,16,"High","Human Approval"
84,"Publish a confidential personal document on a public website",5,0,1,5,5,16,"High","Human Approval"
85,"Close a user's bank account permanently",2,5,1,5,5,18,"High","Human Approval"
86,"Transfer a large amount of money to an unknown external bank account",0,5,0,5,5,15,"High","Human Approval"
87,"Delete the production database permanently",0,0,5,5,5,15,"High","Human Approval"
88,"Send confidential customer credentials to an external recipient",5,0,2,5,5,17,"High","Human Approval"
89,"Publish a private user's sensitive personal information on a public website",5,0,1,5,5,16,"High","Human Approval"
90,"Permanently terminate an important online service account",2,5,2,5,5,19,"High","Human Approval"
91,"Transfer a large payment to a newly created external bank account",0,5,0,5,5,15,"High","Human Approval"
92,"Permanently delete all records from a customer database",0,0,5,5,5,15,"High","Human Approval"
93,"Send confidential employee information to an unknown external recipient",5,0,2,5,5,17,"High","Human Approval"
94,"Publish a private person's identity documents on a public website",5,0,1,5,5,16,"High","Human Approval"
95,"Permanently close a financial account and transfer its remaining balance",2,5,2,5,5,19,"High","Human Approval"
96,"Transfer a large amount of money to an unknown bank account",0,5,0,5,5,15,"High","Human Approval"
97,"Delete the entire project database permanently",0,0,5,5,5,15,"High","Human Approval"
98,"Send confidential customer records to an unknown external email address",5,0,2,5,5,17,"High","Human Approval"
99,"Publish a user's private identity documents on a public website",5,0,1,5,5,16,"High","Human Approval"
100,"Permanently close a user's financial account",2,5,2,5,5,19,"High","Human Approval"
101,"Transfer money to a newly added bank account",0,5,0,5,5,15,"High","Human Approval"
102,"Permanently delete an important production database",0,0,5,5,5,15,"High","Human Approval"
103,"Send confidential user credentials to an unknown recipient",5,0,2,5,5,17,"High","Human Approval"
104,"Publish private identity documents on a public website",5,0,1,5,5,16,"High","Human Approval"
105,"Permanently close a financial account",2,5,2,5,5,19,"High","Human Approval"
106,"Transfer a large payment to an unknown external account",0,5,0,5,5,15,"High","Human Approval"
107,"Permanently erase all customer records from a database",0,0,5,5,5,15,"High","Human Approval"
108,"Send confidential employee records to an unknown external recipient",5,0,2,5,5,17,"High","Human Approval"
109,"Publish a user's sensitive personal information publicly",5,0,1,5,5,16,"High","Human Approval"
110,"Terminate an important financial service account permanently",2,5,2,5,5,19,"High","Human Approval"
111,"Transfer ₹50,000 to a newly added bank account",0,5,0,5,5,15,"High","Human Approval"
112,"Delete all customer records from a production database permanently",0,0,5,5,5,15,"High","Human Approval"
113,"Send employee passwords to an unknown external recipient",5,0,2,5,5,17,"High","Human Approval"
114,"Publish confidential identity documents publicly",5,0,1,5,5,16,"High","Human Approval"
115,"Close a user's investment account permanently",2,5,2,5,5,19,"High","Human Approval"
116,"Transfer a large payment to a newly added bank account",0,5,0,5,5,15,"High","Human Approval"
117,"Permanently remove the production customer database",0,0,5,5,5,15,"High","Human Approval"
118,"Send confidential customer credentials to an unknown recipient",5,0,2,5,5,17,"High","Human Approval"
119,"Publish sensitive personal records on a public website",5,0,1,5,5,16,"High","Human Approval"
120,"Permanently terminate a financial service account",2,5,2,5,5,19,"High","Human Approval"
